,cefi_A,q_A,delta_J_liu,q_liu,cefi_svd,q_svd,cefi_B,q_B,subspace_dist,objective_gap
1994-06-20,0.061010395428342565,1,0.0008218504150969419,26,0.40749374288536677,1,0.0035806617259746543,26,1.376076253070181,0.3464833474570242
1994-07-05,0.10022417475105991,4,0.010419225809801438,4,0.39764846767256384,1,0.022525660317575275,4,2.4699168283799096,0.17862071995913928
1994-07-19,0.0508512882076069,1,-0.0005903086500790994,28,0.3698438065226767,1,0.0029275103219315174,21,1.3645476534434469,0.3189925183150698
1994-08-02,0.06051904591412269,1,0.0002537139048343767,25,0.3842559643093605,1,0.007153952987508025,23,1.3692844986633326,0.32373691839523777
1994-08-16,0.04907999563511978,1,0.002649685145683228,13,0.3819562636267132,1,0.010517057823098405,13,1.3647244662398057,0.3328762679915934
1994-08-30,0.01771010818218635,1,0.0006589195775558443,21,0.3688292738803914,1,0.00205922689162423,17,1.3669189622082467,0.351119165698205
1994-09-14,0.028885002732312093,11,0.0006136170222999643,21,0.3649757542800834,1,0.00754593071669428,21,3.4092750984482065,0.10075491188831809
1994-09-28,0.011946350136656611,10,0.0009712451728500632,29,0.36722313233794135,1,0.0018227248478597108,27,3.5743063548590435,0.13454906137823403
1994-10-12,0.017775738856520312,1,-7.185425380100419e-05,26,0.36238847087268433,1,0.0018749652416854279,26,1.4130279034511557,0.34461273201616405
1994-10-26,0.03237747722404653,1,0.0012128290589967367,28,0.37052096695229353,1,0.004538197440649039,24,1.414206341786915,0.338143489728247
1994-11-09,0.0558671543870069,1,0.00017410652427987672,23,0.37108255364998566,1,0.004355550581704337,23,1.4140044099662694,0.31521539926297876
1994-11-23,0.0929762057599231,1,-0.0006338866636304286,29,0.37171981292763046,1,0.014109721458152369,7,1.4101039152119996,0.27874360716770735
1994-12-08,0.11350869868588793,1,0.0005090846069373128,28,0.37236676995491197,1,0.0006885326883831339,19,1.4064029241748603,0.25885807126902405
1994-12-22,0.09570572343127803,1,0.00036699385779691285,26,0.382289643184141,1,0.003983532279013463,21,1.4113347135779812,0.28658391975286296
1995-01-09,0.08753784835902872,1,0.0012957967421118044,29,0.37234637191644276,1,0.00870977904473974,16,1.4099533948662424,0.28480852355741404
1995-01-23,0.10346490706253891,1,-0.0009613610702976783,28,0.35793764646272064,1,0.001934311691690574,22,1.4050591309399931,0.2544727394001817
1995-02-06,0.10619677239262418,1,-4.8777893419296725e-05,29,0.38037297483160215,1,0.0016644093904117502,27,1.4113344286476148,0.274176202438978
1995-02-21,0.07357851220406561,1,0.0005969111601079047,28,0.3921411964319853,1,0.007462252166507449,13,1.4123640689194379,0.31856268422791967
