date,ei_micro,ei_micro_density,macro_ei_max,macro_ei_max_density,cefi,cefi_raw,q_star,optimizer_budget
2013-01-10,7.107246218085917,0.23690820726953057,4.027821597602443,2.0139107988012217,1.7770025915316912,7.3853810931341,2,12/100
2013-01-14,7.114734098663482,0.23715780328878275,4.0507016512883425,2.0253508256441712,1.7881930223553886,7.321115764069664,2,12/100
2013-01-16,7.14689115612732,0.238229705204244,3.97560787704038,1.98780393852019,1.749574233315946,7.316252847329527,2,12/100
2013-01-18,7.203290566604868,0.2401096855534956,4.078404970516586,2.039202485258293,1.7990927997047974,7.384548730061211,2,12/100
2013-01-23,7.218221627354845,0.24060738757849484,4.021537809099914,2.010768904549957,1.770161516971462,7.315136695325732,2,12/100
2013-01-25,7.154030956963794,0.2384676985654598,3.8921747175344397,1.9460873587672198,1.7076196602017601,7.307815344667464,2,12/100
2013-01-29,7.101949345937413,0.23673164486458045,3.8412075758930175,1.9206037879465088,1.6838721430819283,7.272402980177635,2,12/100
2013-01-31,7.101103564597218,0.2367034521532406,4.049209674024582,2.024604837012291,1.7879013848590506,7.29001603475528,2,12/100
2013-02-04,7.061815902820899,0.2353938634273633,3.849793963218163,1.9248969816090815,1.6895031181817182,7.389600982175703,2,12/100
2013-02-06,7.078899902225701,0.23596333007419004,3.894222113223477,1.9471110566117384,1.7111477265375483,7.367260702697878,2,12/100
2013-02-08,7.071524004172211,0.23571746680574038,3.870690739169214,1.935345369584607,1.6996279027788666,7.316966169158146,2,12/100
2013-02-12,7.038106794353572,0.23460355981178574,3.7502462577199327,1.8751231288599663,1.6405195690481806,7.349922433540474,2,12/100
2013-02-14,7.08798842498444,0.23626628083281467,3.871551777361373,1.9357758886806864,1.6995096078478718,7.2537997307856035,2,12/100
2013-02-19,7.077758798843985,0.2359252932947995,3.838551097927842,1.919275548963921,1.6833502556691216,7.428110842968498,2,12/100
2013-02-21,7.140764937720319,0.23802549792401065,3.8484066879285748,1.9242033439642874,1.6861778460402768,7.473820499594704,2,12/100
2013-02-25,7.157402529193008,0.2385800843064336,3.936099309386734,1.968049654693367,1.7294695703869334,7.447890149163109,2,12/100
2013-02-27,7.146376121626993,0.23821253738756643,4.026122281656198,2.013061140828099,1.7748486034405326,7.509659973139399,2,12/100
2013-03-01,7.151035133163258,0.2383678377721086,3.9432296962652105,1.9716148481326052,1.7332470103604967,7.4492597405554735,2,12/100
2013-03-05,7.137141019645125,0.23790470065483751,3.786459312703718,1.893229656351859,1.6553249556970213,7.506386383702785,2,12/100
2013-03-07,7.1256628821425165,0.23752209607141722,3.780503657044182,1.890251828522091,1.6527297324506738,7.418259885015417,2,12/100
2013-03-11,7.145047914152282,0.23816826380507605,3.7054403664821165,1.8527201832410582,1.614551919435982,7.444585466122658,2,12/100
2013-03-13,7.160548307456371,0.23868494358187903,3.8792794533561863,1.9396397266780931,1.7009547830962142,7.425309863139177,2,12/100
2013-03-15,7.167081248459985,0.2389027082819995,3.8254753801794688,1.9127376900897344,1.673834981807735,7.51578515452252,2,12/100
2013-03-19,7.169545164230774,0.23898483880769247,3.7341250057838495,1.8670625028919248,1.6280776640842323,7.488229764286688,2,12/100
2013-03-21,7.209479800210966,0.24031599334036552,3.797645782988469,1.8988228914942344,1.6585068981538689,7.4359176487610394,2,12/100
2013-03-25,7.224405624113542,0.24081352080378474,3.900479008800783,1.9502395044003915,1.7094259835966068,7.517989111336274,2,12/100
2013-03-27,7.232301518250623,0.24107671727502078,3.8437252563880646,1.9218626281940323,1.6807859109190115,7.408910107577598,2,12/100
2013-04-01,7.22384357776154,0.24079478592538467,3.8627339363177686,1.9313669681588843,1.6905721822334996,7.4434088966201415,2,12/100
2013-04-03,7.24315206159795,0.241438402053265,3.9605975387823005,1.9802987693911502,1.7388603673378853,7.417713636393827,2,12/100
2013-04-05,7.281295818626525,0.24270986062088415,3.7517068758493535,1.8758534379246767,1.6331435773037926,7.469380289241476,2,12/100
2013-04-09,7.2820079657077486,0.24273359885692494,3.7903098260837362,1.8951549130418681,1.652421314184943,7.47788888655084,2,12/100
2013-04-11,7.290452224637933,0.24301507415459778,3.9770590625923368,1.9885295312961684,1.7455144571415706,7.444301859103675,2,12/100
2013-04-15,7.315156803370497,0.24383856011234992,3.9357351140110075,1.9678675570055038,1.724028996893154,7.535796376372204,2,12/100
2013-04-17,7.306858331966994,0.2435619443988998,4.132358224393168,2.066179112196584,1.8226171677976841,7.501645264294613,2,12/100
2013-04-19,7.328982198912154,0.24429940663040514,4.020721329535137,2.0103606647675685,1.7660612581371633,7.508670060370145,2,12/100
2013-04-23,7.323863724087752,0.24412879080292507,3.9470748134020655,1.9735374067010327,1.7294086158981077,7.546217761514749,2,12/100
2013-04-25,7.169038469738951,0.2389679489912984,3.769396510386571,1.8846982551932856,1.6457303062019872,7.578792187568859,2,12/100
2013-04-29,7.137721887881191,0.23792406292937301,4.0059285971867435,2.0029642985933718,1.7650402356639987,7.563333317338198,2,12/100
2013-05-01,7.0497380095721525,0.2349912669857384,3.9446298736527727,1.9723149368263864,1.737323669840648,7.603331714180538,2,12/100
2013-05-03,7.054428765834209,0.23514762552780696,3.8076201156641,1.90381005783205,1.6686624323042432,7.579729807585317,2,12/100
2013-05-07,7.084122578555858,0.23613741928519527,4.095779386940092,2.047889693470046,1.8117522741848506,7.550240308183007,2,12/100
2013-05-09,7.011953166102448,0.23373177220341496,4.024919725859025,2.0124598629295125,1.7787280907260976,7.581151811400924,2,12/100
2013-05-13,6.981991708964657,0.23273305696548854,3.9592355149466627,1.9796177574733314,1.7468847005078427,7.507172653326702,2,12/100
2013-05-15,7.003372719589736,0.23344575731965786,3.8273740296172316,1.9136870148086158,1.680241257488958,7.540196535653374,2,12/100
2013-05-17,7.045204974195495,0.2348401658065165,4.0319225712774704,2.0159612856387352,1.7811211198322188,7.5146447821287845,2,12/100
2013-05-21,7.030695369102574,0.23435651230341914,4.053140185333049,2.0265700926665247,1.7922135803631054,7.525046404866824,2,12/100
2013-05-23,7.035784606849356,0.23452615356164522,4.1475355043640265,2.0737677521820133,1.839241598620368,7.457871030161622,2,12/100
2013-05-28,7.039176265702746,0.2346392088567582,3.9556655464224297,1.9778327732112149,1.7431935643544567,7.499707465733383,2,12/100
2013-05-30,6.982295603207034,0.2327431867735678,3.8383582608384055,1.9191791304192027,1.6864359436456349,7.427226053567222,2,12/100
2013-06-03,6.951764427752418,0.2317254809250806,3.9696569016435705,1.9848284508217853,1.7531029698967047,7.478561895124039,2,12/100
2013-06-05,6.979417865350159,0.23264726217833864,3.8700599203171535,1.9350299601585768,1.7023826979802381,7.525579617578465,2,12/100
2013-06-07,6.980021606700534,0.2326673868900178,4.057411171920974,2.028705585960487,1.796038199070469,7.52638903974932,2,12/100
2013-06-11,6.980440023205273,0.23268133410684244,4.023554357413797,2.0117771787068985,1.779095844600056,7.499456946174294,2,12/100
2013-06-13,6.944008883826872,0.23146696279422907,3.8858727233061834,1.9429363616530917,1.7114693988588625,7.507501594987587,2,12/100
2013-06-17,6.887478492842134,0.22958261642807112,3.975538402538005,1.9877692012690025,1.7581865848409313,7.519167549977134,2,12/100
2013-06-19,6.899492582951859,0.2299830860983953,3.717430429987666,1.858715214993833,1.6287321288954377,7.478999531145619,2,12/100
2013-06-21,6.887939191365615,0.22959797304552051,3.888641250742812,1.944320625371406,1.7147226523258856,7.550403210161929,2,12/100
2013-06-25,6.852938548523888,0.22843128495079626,4.050890415721133,2.0254452078605665,1.7970139229097701,7.5673841133856605,2,12/100
